,formatted_address,name,place_id,rating,user_ratings_total,geometry.location.lat,geometry.location.lng,opening_hours.open_now,permanently_closed,0,1,2,store_name
39,"Zürcherstrasse 10, 8917 Oberlunkhofen, Switzerland",Volg Oberlunkhofen,ChIJx1uESW4PkEcRzQhcKHcvfgs,4.1,98.0,47.3115659,8.39208,True,,Zürcherstrasse 10, 8917 Oberlunkhofen, Switzerland,volg
40,"Dorfpl. 1, 8911 Rifferswil, Switzerland",Volg Rifferswil,ChIJIWicTnsHkEcRb5o6XbDX6Js,4.2,33.0,47.2426214,8.49602,True,,Dorfpl. 1, 8911 Rifferswil, Switzerland,volg
41,"Stampfistrasse 1, 8934 Knonau, Switzerland",Volg,ChIJFbFhJjAHkEcRMnmxXBtZG84,4.5,63.0,47.223383,8.4613105,True,,Stampfistrasse 1, 8934 Knonau, Switzerland,volg
42,"Oberdorfstrasse 6A, 6340 Baar, Switzerland",Coop Supermarkt Baar Oberdorf,ChIJo1S3MDGqmkcR_5pEPukFo1o,4.1,238.0,47.1956308,8.5300792,True,,Oberdorfstrasse 6A, 6340 Baar, Switzerland,coop
44,"Hintere Grundstrasse 2, 8135 Langnau am Albis, Switzerland",Migros Supermarkt,ChIJy4I_EeGnmkcRGRIhApH6DXI,4.2,132.0,47.2913381,8.5378331,True,,Hintere Grundstrasse 2, 8135 Langnau am Albis, Switzerland,migro
46,"Bühlstrasse 1, 8933 Maschwanden, Switzerland",Volg Maschwanden,ChIJqb2Xe8AGkEcROl5oEMTGUho,4.5,23.0,47.2345784,8.427523599999999,True,,Bühlstrasse 1, 8933 Maschwanden, Switzerland,volg
47,"Dorfstrasse 48, 8912 Obfelden, Switzerland",Volg Obfelden,ChIJ5xQge2gHkEcRaMc0VkGGH_c,0.0,0.0,47.26387769999999,8.4287414,True,,Dorfstrasse 48, 8912 Obfelden, Switzerland,volg
49,"Ottenbacherstrasse 23, 8912 Obfelden, Switzerland",Coop Supermarkt Obfelden,ChIJR20XCHAGkEcRC3aZj3d3dHE,3.9,222.0,47.266924,8.4242246,True,,Ottenbacherstrasse 23, 8912 Obfelden, Switzerland,coop
51,"Bahnhofstrasse 7, 6312 Steinhausen, Switzerland",Coop Supermarkt Steinhausen,ChIJOW4Za6EAkEcR9ZT4L-8opxs,4.4,310.0,47.19640330000001,8.4826207,True,,Bahnhofstrasse 7, 6312 Steinhausen, Switzerland,coop
52,"Luzernerstrasse 101, 6333 Hünenberg, Switzerland",SPAR Grocery Store Hünenberg,ChIJXalUp1kAkEcRbRvDvMJ3De0,4.4,93.0,47.1734835,8.449134599999999,True,,Luzernerstrasse 101, 6333 Hünenberg, Switzerland,spar
53,"Chollerstrasse 1, 6300 Zug, Switzerland",migrolino Zug,ChIJndDuv4IAkEcRq7qtFdZvjLY,4.3,101.0,47.1826324,8.4839163,True,,Chollerstrasse 1, 6300 Zug, Switzerland,migro
54,"Luzernstrasse 2, 5634 Merenschwand, Switzerland",Volg Merenschwand,ChIJpWqHZk0EkEcRNvZiFhIGS8Y,4.5,145.0,47.2592359,8.3746537,True,,Luzernstrasse 2, 5634 Merenschwand, Switzerland,volg
55,"Mitteldorf 20, 5637 Beinwil (Freiamt), Switzerland",Volg Beinwil (Freiamt),ChIJqSO6W4QEkEcR8NV6Dw0q8jU,4.5,49.0,47.2301564,8.345783299999999,True,,Mitteldorf 20, 5637 Beinwil (Freiamt), Switzerland,volg
56,"Seehofstrasse 14, 6330 Cham, Switzerland",Coop Supermarkt Cham Seehof,ChIJI11au4wAkEcRyyjR9WT4MVY,4.2,335.0,47.18148679999999,8.4616515,True,,Seehofstrasse 14, 6330 Cham, Switzerland,coop
57,"Chamerstrasse 12, 6331 Hünenberg, Switzerland",Migros Supermarkt ab 24.11.22,ChIJW6acDaQBkEcRfud3Va_PkRI,0.0,0.0,47.1750893,8.427163199999999,,,Chamerstrasse 12, 6331 Hünenberg, Switzerland,migro
58,"Eichengasse 1A, 6331 Hünenberg, Switzerland",Coop Supermarkt Hünenberg,ChIJEWiWA6kBkEcRBDpLQRH8OPI,4.0,131.0,47.1754437,8.426284899999999,True,,Eichengasse 1A, 6331 Hünenberg, Switzerland,coop
59,"Dorfpl. 3, 8913 Ottenbach, Switzerland",Volg Ottenbach,ChIJ-9VFjOgFkEcRer4JzMbGEC0,4.2,97.0,47.2811749,8.404418999999999,True,,Dorfpl. 3, 8913 Ottenbach, Switzerland,volg
60,"Dorfstrasse 56, 6332 Cham, Switzerland",Volg Hagendorn mit Postagentur,ChIJUWiGwiQBkEcR6d71lgDtgKg,4.4,67.0,47.2041808,8.4326087,True,,Dorfstrasse 56, 6332 Cham, Switzerland,volg
61,"Maihölzli 5, 6331 Hünenberg, Switzerland",Migros-Supermarkt - Hünenberg Dorf,ChIJx-xVC2QBkEcRIOsffv2bKVM,0.0,0.0,47.1750455,8.4273217,True,,Maihölzli 5, 6331 Hünenberg, Switzerland,migro
69,"Alte Landstrasse 26, 8942 Oberrieden, Switzerland",Coop Supermarkt Oberrieden,ChIJC-imIZuomkcRNW6A52oAmQc,4.3,156.0,47.2782658,8.5754782,True,,Alte Landstrasse 26, 8942 Oberrieden, Switzerland,coop
70,"Alte Landstrasse 37, 8942 Oberrieden, Switzerland",migrolino Oberrieden,ChIJyTVfXJqomkcRpu_SFUSzSc4,4.2,154.0,47.2767068,8.5775265,True,,Alte Landstrasse 37, 8942 Oberrieden, Switzerland,migro
71,"Oberdorfstrasse 50, 8810 Horgen, Switzerland",migrolino Shop,ChIJX1K6MsSomkcRn56EHhpArSU,4.1,86.0,47.2587963,8.589930299999999,True,,Oberdorfstrasse 50, 8810 Horgen, Switzerland,migro
73,"Aarauerstrasse 2, 5642 Mühlau, Switzerland",Volg Mühlau,ChIJXWHj5A8EkEcR0bNytIoRNtg,4.4,56.0,47.2297692,8.389492599999999,True,,Aarauerstrasse 2, 5642 Mühlau, Switzerland,volg
74,"Bahnhofstrasse 2, 6312 Steinhausen, Switzerland",Migros Supermarkt,ChIJq6p2bKEAkEcRLOmVVbkLxyo,4.5,83.0,47.1970457,8.4849184,True,,Bahnhofstrasse 2, 6312 Steinhausen, Switzerland,migro
75,"Sellenbüren 61, 8143 Stallikon, Switzerland",Coop Supermarkt Stallikon,ChIJT5Z9QAgJkEcRVPIIyMRyfy8,4.0,147.0,47.342808,8.4829805,True,,Sellenbüren 61, 8143 Stallikon, Switzerland,coop
76,"Kirchgasse 2, 8907 Wettswil am Albis, Switzerland",Volg Wettswil,ChIJ5_6ndgQJkEcRtvA3P0l4SQc,4.1,114.0,47.33757629999999,8.4748141,True,,Kirchgasse 2, 8907 Wettswil am Albis, Switzerland,volg
79,"Albisstrasse 10, 8134 Adliswil, Switzerland",Migros Supermarkt,ChIJz36CXYqnmkcRPGj6agSMWlo,4.3,876.0,47.3111111,8.5252778,True,,Albisstrasse 10, 8134 Adliswil, Switzerland,migro
80,"Kalanderpl. 1, 8045 Zürich, Switzerland",Coop Supermarkt Zürich Sihlcity Supermarkt,ChIJFwx7xe8JkEcRDrrE0f9X6mg,4.4,859.0,47.3576232,8.5231751,True,,Kalanderpl. 1, 8045 Zürich, Switzerland,coop
82,"Uetlibergstrasse 20, 8045 Zürich, Switzerland",Coop Supermarkt Zürich Manessehof,ChIJHVi3JfQJkEcRJv9MWJcnqMA,4.0,248.0,47.36488989999999,8.5211127,True,,Uetlibergstrasse 20, 8045 Zürich, Switzerland,coop
83,"Dietlimoosplatz 1, 8134 Adliswil, Switzerland",ALDI SUISSE,ChIJNfdm5i2nmkcRADcuUzDZoAk,4.3,9.0,47.3221605,8.529346199999999,True,,Dietlimoosplatz 1, 8134 Adliswil, Switzerland,aldi
84,"Poststrasse 3, 8134 Adliswil, Switzerland",Coop Supermarkt Adliswil,ChIJqUHEGYqnmkcR-RTA1HL7U0s,4.1,394.0,47.3130391,8.525551799999999,True,,Poststrasse 3, 8134 Adliswil, Switzerland,coop
85,"Waldegg CH, Zürcherstrasse 1, 8142 Uitikon, Switzerland",Coop Supermarkt Uitikon Waldegg,ChIJ7SJ3VA0JkEcR8riOqfBvUIg,4.4,126.0,47.36806499999999,8.4624693,True,,Waldegg CH, Zürcherstrasse 1, 8142 Uitikon,coop
86,"Albisriederstrasse 334, 8047 Zürich, Switzerland",Coop Supermarkt Zürich A-Park,ChIJe_dIMdcLkEcRAcqzjn6bRd8,4.0,403.0,47.3758681,8.487279899999999,True,,Albisriederstrasse 334, 8047 Zürich, Switzerland,coop
88,"Zürcherstrasse 8, 8142 Uitikon, Switzerland",Migros Supermarkt,ChIJCUfywF4JkEcRk_49-0QlaqM,4.3,193.0,47.3684463,8.4628667,True,,Zürcherstrasse 8, 8142 Uitikon, Switzerland,migro
89,"Zürcherstrasse 13a, 8903 Birmensdorf, Switzerland",Coop Supermarkt Birmensdorf,ChIJ0YCpYsoOkEcRNz3Ngc-ZFXg,4.2,278.0,47.3537676,8.4368392,True,,Zürcherstrasse 13a, 8903 Birmensdorf, Switzerland,coop
95,"Zürcherstrasse 15, 8903 Birmensdorf, Switzerland",Migros Supermarkt,ChIJI8HnhsoOkEcRtrizPct-sG0,4.3,176.0,47.35429449999999,8.4367776,True,,Zürcherstrasse 15, 8903 Birmensdorf, Switzerland,migro
96,"Birmensdorferstrasse 484, 8055 Zürich, Switzerland",migrolino Triemli,ChIJVUL56IAJkEcRDXaPF7oDxp8,4.3,133.0,47.3685826,8.4966337,True,,Birmensdorferstrasse 484, 8055 Zürich, Switzerland,migro
97,"In der Ey 85, 8047 Zürich, Switzerland",Coop Supermarkt Zürich Triemli,ChIJU5wHWdULkEcRVLrX-Y3gI88,4.3,239.0,47.3705382,8.4921778,True,,In der Ey 85, 8047 Zürich, Switzerland,coop
98,"Industriestrasse 1, 8903 Birmensdorf, Switzerland",migrolino Birmensdorf,ChIJ4Q2NTqUOkEcRdJ334CCgdqg,3.1,21.0,47.3654348,8.429675399999999,True,,Industriestrasse 1, 8903 Birmensdorf, Switzerland,migro
101,"Weinlandstrasse 4, 8451 Kleinandelfingen, Switzerland",Migros Supermarkt,ChIJ-XJOi0iDmkcRTJyNhPoG8oc,4.3,406.0,47.601979,8.6888684,True,,Weinlandstrasse 4, 8451 Kleinandelfingen, Switzerland,migro
102,"Schaffhauserstrasse 62, 8451 Kleinandelfingen, Switzerland",Coop Supermarkt Kleinandelfingen,ChIJj3Su00eDmkcREAUGuthcEC0,4.5,473.0,47.6030463,8.6884763,True,,Schaffhauserstrasse 62, 8451 Kleinandelfingen, Switzerland,coop
103,"Schaffhauserstrasse 24, 8451 Kleinandelfingen, Switzerland",Volg Kleinandelfingen,ChIJ9S50F9WDmkcRoCDygMr1c2M,4.6,15.0,47.599414,8.6833107,True,,Schaffhauserstrasse 24, 8451 Kleinandelfingen, Switzerland,volg
104,"Hinterdorfstrasse 2, 8444 Henggart, Switzerland",Volg Henggart,ChIJ4dMtzZGcmkcRLk5hQwiq7WA,4.3,116.0,47.56418619999999,8.6830546,True,,Hinterdorfstrasse 2, 8444 Henggart, Switzerland,volg
105,"Thurtalstrasse 3, 8450 Andelfingen, Switzerland",Volg Andelfingen,ChIJRf8s5DSDmkcRgZRQbuxrWb8,4.5,91.0,47.5949754,8.679372899999999,True,,Thurtalstrasse 3, 8450 Andelfingen, Switzerland,volg
106,"Gewerbestrasse 9c, 8451 Kleinandelfingen, Switzerland",Denner Partner,ChIJxdXwm0eDmkcRK8n8uTQYaIg,4.1,136.0,47.6048375,8.6872495,True,,Gewerbestrasse 9c, 8451 Kleinandelfingen, Switzerland,denner
107,"Mitteldorfstrasse 21, 8475 Ossingen, Switzerland",Volg Ossingen,ChIJR_MMkZeEmkcRgYHWMslpG3Q,4.4,64.0,47.6112894,8.7259704,True,,Mitteldorfstrasse 21, 8475 Ossingen, Switzerland,volg
108,"Schulstrasse 1, 8442 Hettlingen, Switzerland",Volg Hettlingen,ChIJOWXTgZybmkcRvtTIjvZoNoQ,4.5,30.0,47.5467014,8.7079309,True,,Schulstrasse 1, 8442 Hettlingen, Switzerland,volg
110,"Schaffhauserstrasse 152, 8400 Winterthur, Switzerland",ALDI SUISSE,ChIJk1k5G5ebmkcRPdrapyCsS2Q,4.5,6.0,47.51863,8.7199086,True,,Schaffhauserstrasse 152, 8400 Winterthur, Switzerland,aldi
111,"Hauptstrasse 12, 8543 Bertschikon, Switzerland",Volg-Laden Gundetswil,ChIJJUA3_faQmkcRLnQqxQxGgW8,4.3,26.0,47.5397654,8.8225888,True,,Hauptstrasse 12, 8543 Bertschikon, Switzerland,volg
112,"Maiengasse 2, 8460 Marthalen, Switzerland",Volg-supermarkt Marthalen mit postagentur,ChIJ1bk8G_KCmkcRfBo46rKezKw,4.2,50.0,47.62608609999999,8.649148799999999,True,,Maiengasse 2, 8460 Marthalen, Switzerland,volg
114,"Pumpwerkstrasse 56, 8105 Regensdorf, Switzerland",SPAR,ChIJ2TWFZ6kMkEcR2y1Kg6PeByk,4.2,266.0,47.445349,8.4640988,True,,Pumpwerkstrasse 56, 8105 Regensdorf, Switzerland,spar
115,"Weiacherstrasse 1, 8422 Pfungen, Switzerland",Migros Supermarkt,ChIJeQU0niqcmkcRhE9IFLdrP-g,4.3,419.0,47.51748449999999,8.650216,True,,Weiacherstrasse 1, 8422 Pfungen, Switzerland,migro
116,"Dorfstrasse 2, 8471 Dägerlen, Switzerland",Volg Rutschwil,ChIJ3ZvUBA-bmkcRHjp3U__q6WE,4.4,41.0,47.556715,8.730279000000001,True,,Dorfstrasse 2, 8471 Dägerlen, Switzerland,volg
117,"Strehlgasse 27, 8472 Seuzach, Switzerland",Coop Supermarkt Seuzach,ChIJB83py7ObmkcR0cDU2tbZSi0,4.2,191.0,47.5369484,8.7340807,True,,Strehlgasse 27, 8472 Seuzach, Switzerland,coop
118,"Einkaufszentrum, Weiacherstrasse 1, 8422 Pfungen, Switzerland",Denner Discount,ChIJFQU0niqcmkcRSHmM4tOfGRQ,4.4,80.0,47.5174752,8.6503143,True,,Einkaufszentrum, Weiacherstrasse 1, 8422 Pfungen,denner
119,"Landstrasse 7, 8463 Benken, Switzerland",Volg Benken,ChIJZ_nCSECCmkcRseZoRbQM4zU,4.7,45.0,47.6528423,8.6535622,True,,Landstrasse 7, 8463 Benken, Switzerland,volg
121,"Marthalerstrasse, 8463 Benken, Switzerland",BenkenWeine - Benkener VOLG Traubenproduzenten,ChIJ6RmWNkCCmkcRQVG6-9nszNA,0.0,0.0,47.6506902,8.6524448,,,Marthalerstrasse, 8463 Benken, Switzerland,volg
123,"Kirchgasse 5, 8248 Laufen-Uhwiesen, Switzerland",Volg Uhwiesen,ChIJH-_AMAeCmkcRmp7PsfO2S3g,4.4,76.0,47.6705639,8.634489,True,,Kirchgasse 5, 8248 Laufen-Uhwiesen, Switzerland,volg
124,"Zentrum, 8717 Benken, Switzerland",SPAR Supermarkt Benken,ChIJwRJTZOnOmkcRCAEVrXDrKI4,4.1,47.0,47.1985519,9.004499100000002,True,,Zentrum, 8717 Benken, Switzerland,spar
125,"Gründenstrasse 5, 8247 Flurlingen, Switzerland",SPAR Supermarkt Flurlingen,ChIJg_siWFB_kEcRpPdX2f0dchU,4.3,46.0,47.6844311,8.6275236,True,,Gründenstrasse 5, 8247 Flurlingen, Switzerland,spar
126,"Kaiserstuhlstrasse 51, 8154 Oberglatt, Switzerland",migrolino Oberglatt,ChIJU1epxu10kEcRJi-ynujBJkY,4.2,71.0,47.4764631,8.5051472,True,,Kaiserstuhlstrasse 51, 8154 Oberglatt, Switzerland,migro
127,"Bachstrasse 5, 8184 Bachenbülach, Switzerland",Volg Bachenbülach,ChIJWzd_ZLh1kEcRMDr2onu7Nng,4.4,50.0,47.5036119,8.5478651,True,,Bachstrasse 5, 8184 Bachenbülach, Switzerland,volg
128,"Bahnhofstrasse 27, 8154 Oberglatt, Switzerland",Volg Oberglatt,ChIJk-CKWuR0kEcRkyzgBPuHby8,4.1,78.0,47.4741619,8.5157962,True,,Bahnhofstrasse 27, 8154 Oberglatt, Switzerland,volg
129,"Thurtalstrasse 26, 8479 Altikon, Switzerland",Volg Altikon,ChIJT8Iu07uamkcR_9Ct1D-RQLA,4.5,24.0,47.5732239,8.7816033,True,,Thurtalstrasse 26, 8479 Altikon, Switzerland,volg
130,"Grafschaftstrasse 1, 8172 Niederglatt, Switzerland",Volg Niederglatt,ChIJ1xYeGGd0kEcR05RnjFv0zOE,4.4,30.0,47.4917268,8.5033949,True,,Grafschaftstrasse 1, 8172 Niederglatt, Switzerland,volg
131,"Grüterstrasse 4, 8545 Rickenbach, Switzerland",Volg Rickenbach,ChIJN_B7YXiQmkcRkLDD7f0j2aw,4.6,16.0,47.5525713,8.7940793,True,,Grüterstrasse 4, 8545 Rickenbach, Switzerland,volg
132,"Zollstrasse 54, 8212 Neuhausen am Rheinfall, Switzerland",Coop Supermarkt Neuhausen Schützengut,ChIJzY168jR_kEcReTkaXLpv0r0,4.1,165.0,47.68005160000001,8.6065653,True,,Zollstrasse 54, 8212 Neuhausen am Rheinfall, Switzerland,coop
133,"Dorfstrasse 6A, 8196 Wil, Switzerland",Volg Wil ZH,ChIJB0bn7qlwkEcR-RoU7dSDUHc,4.4,39.0,47.6055444,8.5074805,True,,Dorfstrasse 6A, 8196 Wil, Switzerland,volg
134,"Dorfstrasse 24, 8465 Rudolfingen, Switzerland",Volg Rudolfingen,ChIJl5fm0ayDmkcRt7SCw1hoKSY,4.1,17.0,47.6403938,8.6730082,True,,Dorfstrasse 24, 8465 Rudolfingen, Switzerland,volg
135,"Flughofstrasse 3, 8058 Kloten, Switzerland",Migros Supermarket Zurich Airport,ChIJ_SR38lZ1kEcReSR9696npIg,4.5,1727.0,47.4493704,8.562636099999999,True,,Flughofstrasse 3, 8058 Kloten, Switzerland,migro
136,"Hauptstrasse 55, 8414 Buch am Irchel, Switzerland",Volg,ChIJhabHP5idmkcRx7lt6XWDgBU,4.2,33.0,47.5496268,8.6186899,True,,Hauptstrasse 55, 8414 Buch am Irchel, Switzerland,volg
138,"Berglistrasse 24, 8180 Bülach, Switzerland",Volg Bülach,ChIJUaPWM2t1kEcR_WaV6CBB9_0,4.3,22.0,47.5229994,8.5468199,True,,Berglistrasse 24, 8180 Bülach, Switzerland,volg
139,"Webergasse 4, 8416 Flaach, Switzerland",Volg Flaach,ChIJoVrk4WCdmkcRzfLdGE8y36c,4.5,94.0,47.5765476,8.6081679,True,,Webergasse 4, 8416 Flaach, Switzerland,volg
140,"Dorfstrasse 35, 8454 Buchberg, Switzerland",Volg,ChIJ7Yo1h6V3kEcR5es5s7MG8KM,4.5,23.0,47.5726039,8.5623665,True,,Dorfstrasse 35, 8454 Buchberg, Switzerland,volg
142,"Dorfstrasse 8, 8427 Freienstein-Teufen, Switzerland",Volg,ChIJH6HLlwR2kEcR6INqcpAcnWo,4.4,90.0,47.5303383,8.5825891,True,,Dorfstrasse 8, 8427 Freienstein-Teufen, Switzerland,volg
143,"Schaffhauserstrasse 110, 8180 Bülach, Switzerland",Coop Supermarkt Bülach im Guss,ChIJxQDDhAt3kEcRjRB4zcTy244,4.3,185.0,47.5266542,8.5361403,True,,Schaffhauserstrasse 110, 8180 Bülach, Switzerland,coop
145,"Weiacherstrasse 64, 8427 Rorbas, Switzerland",Volg,ChIJ_S5lIQ52kEcRvj9Rb5LjkTs,4.4,92.0,47.531805,8.5738572,True,,Weiacherstrasse 64, 8427 Rorbas, Switzerland,volg
147,"Winterthurstrasse 17, 8413 Neftenbach, Switzerland",Coop Supermarkt Neftenbach,ChIJQdvY1LCbmkcRNFzarb2-edQ,4.4,191.0,47.526162,8.668973,True,,Winterthurstrasse 17, 8413 Neftenbach, Switzerland,coop
148,"Flaachtalstrasse 17, 8459 Volken, Switzerland",Volg Volken,ChIJ852xn2udmkcRmVGzoB3B1Eo,4.3,31.0,47.5739607,8.6245823,True,,Flaachtalstrasse 17, 8459 Volken, Switzerland,volg
149,"Bahnhofstrasse 28, 8180 Bülach, Switzerland",Migros Supermarkt,ChIJL1HalNR1kEcRlEs74Z8YHFg,4.1,613.0,47.5211111,8.54,True,,Bahnhofstrasse 28, 8180 Bülach, Switzerland,migro
150,"Bülacherstrasse 17, 8424 Embrach, Switzerland",Migros Supermarkt,ChIJwcIxRhuemkcRfGPmJWIKkIE,4.3,404.0,47.5101625,8.5915443,True,,Bülacherstrasse 17, 8424 Embrach, Switzerland,migro
151,"Dorfstrasse 138, 8424 Embrach, Switzerland",Coop Supermarkt Embrach,ChIJW-5yMgWemkcRWwYcMHt7e2I,4.2,366.0,47.5109947,8.594256699999999,True,,Dorfstrasse 138, 8424 Embrach, Switzerland,coop
154,"Mitteldorfweg 2, 8413 Neftenbach, Switzerland",Volg,ChIJA0ptvxacmkcR25JpM8d-Foo,4.3,69.0,47.527896,8.667972599999999,True,,Mitteldorfweg 2, 8413 Neftenbach, Switzerland,volg
156,"Tössallmend 2a, 8413 Neftenbach, Switzerland",Lidl,ChIJCUeaD7-dmkcRJcVLgjGurn4,0.0,0.0,47.51926,8.65762,,,Tössallmend 2a, 8413 Neftenbach, Switzerland,lidl
157,"Kasernenstrasse 77, 8180 Bülach, Switzerland",Volg Bülach Storchenwiese,ChIJ5fb8AjJ0kEcRHhdJxRu2AL0,4.0,41.0,47.51507580000001,8.530416599999999,True,,Kasernenstrasse 77, 8180 Bülach, Switzerland,volg
158,"Zürcherstrasse 35, 8426 Lufingen, Switzerland",Volg Lufingen with postal agency,ChIJHSah3TCemkcRSFCP3UIIYeE,4.5,102.0,47.48897150000001,8.5942809,True,,Zürcherstrasse 35, 8426 Lufingen, Switzerland,volg
159,"Dorfstrasse 17, 8447 Dachsen, Switzerland",Volg,ChIJrcii3rp4kEcRicw05kTVK5s,4.3,50.0,47.6652054,8.617393,True,,Dorfstrasse 17, 8447 Dachsen, Switzerland,volg
