,BFS_NR,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG,Unnamed: 11
2646,111,Bäretswil,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,60771,Fr.,Franken,
2678,112,Bubikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,68405,Fr.,Franken,
2710,113,Dürnten,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,61497,Fr.,Franken,
2742,114,Fischenthal,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,54081,Fr.,Franken,
2774,115,Gossau,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,67940,Fr.,Franken,
2806,116,Grüningen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,69464,Fr.,Franken,
2838,117,Hinwil,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,61489,Fr.,Franken,
2870,118,Rüti,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,56111,Fr.,Franken,
2902,119,Seegräben,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,69148,Fr.,Franken,
2934,120,Wald,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,54992,Fr.,Franken,
2966,121,Wetzikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,56496,Fr.,Franken,
2998,131,Adliswil,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,66515,Fr.,Franken,
3115,135,Kilchberg,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,139804,Fr.,Franken,
3147,136,Langnau a.A.,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,77631,Fr.,Franken,
3179,137,Oberrieden,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,95956,Fr.,Franken,
3211,138,Richterswil,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,74839,Fr.,Franken,
3243,139,Rüschlikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,132525,Fr.,Franken,
3304,141,Thalwil,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,88701,Fr.,Franken,
3365,151,Erlenbach,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,147215,Fr.,Franken,
3397,152,Herrliberg,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,151533,Fr.,Franken,
3429,153,Hombrechtikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,64590,Fr.,Franken,
3461,154,Küsnacht,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,150233,Fr.,Franken,
3493,155,Männedorf,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,88166,Fr.,Franken,
3525,156,Meilen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,112864,Fr.,Franken,
3557,157,Oetwil a.S.,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,56967,Fr.,Franken,
3589,158,Stäfa,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,87588,Fr.,Franken,
3621,159,Uetikon a.S.,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,96888,Fr.,Franken,
3653,160,Zumikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,137359,Fr.,Franken,
3685,161,Zollikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,141880,Fr.,Franken,
3742,172,Fehraltorf,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,69214,Fr.,Franken,
3774,173,Hittnau,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,68584,Fr.,Franken,
3858,176,Lindau,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,68552,Fr.,Franken,
3890,177,Pfäffikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,67250,Fr.,Franken,
3922,178,Russikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,76247,Fr.,Franken,
3979,180,Weisslingen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,71594,Fr.,Franken,
4011,181,Wila,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,57965,Fr.,Franken,
4043,182,Wildberg,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,68782,Fr.,Franken,
4075,191,Dübendorf,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,63047,Fr.,Franken,
4107,192,Egg,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,78538,Fr.,Franken,
4139,193,Fällanden,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,73967,Fr.,Franken,
4171,194,Greifensee,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,70754,Fr.,Franken,
4203,195,Maur,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,93451,Fr.,Franken,
4235,196,Mönchaltorf,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,63083,Fr.,Franken,
4267,197,Schwerzenbach,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,66051,Fr.,Franken,
4299,198,Uster,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,66867,Fr.,Franken,
4331,199,Volketswil,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,67964,Fr.,Franken,
4363,200,Wangen-Brüttisellen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,72607,Fr.,Franken,
4395,211,Altikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,61364,Fr.,Franken,
4427,213,Brütten,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,82227,Fr.,Franken,
4459,214,Dägerlen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,65247,Fr.,Franken,
4491,215,Dättlikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,81266,Fr.,Franken,
4523,216,Dinhard,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,72955,Fr.,Franken,
4583,218,Ellikon a.d.Th.,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,65323,Fr.,Franken,
4615,219,Elsau,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,63031,Fr.,Franken,
4647,220,Hagenbuch,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,60457,Fr.,Franken,
4679,221,Hettlingen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,81495,Fr.,Franken,
4739,223,Neftenbach,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,73877,Fr.,Franken,
4771,224,Pfungen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,56649,Fr.,Franken,
4803,225,Rickenbach,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,63148,Fr.,Franken,
4835,226,Schlatt,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,60384,Fr.,Franken,
4867,227,Seuzach,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,76322,Fr.,Franken,
