,place_id,formatted_address,name,rating,types,user_ratings_total,geometry.location.lat,geometry.location.lng,plus_code.compound_code,canton,brand
40,ChIJz5PcYciomkcROEc89Un7rKc,"Seestrasse 117, 8810 Horgen",SPAR express Horgen Seestrasse,4.0,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",176.0,47.2617088,8.5949738,7H6V+PW Horgen, Horgen,SPAR express Horgen Seestrasse
41,ChIJyTVfXJqomkcRpu_SFUSzSc4,"Alte Landstrasse 37, 8942 Oberrieden",migrolino Oberrieden,4.2,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",154.0,47.2767068,8.5775265,7HGH+M2 Oberrieden, Oberrieden,migrolino Oberrieden
42,ChIJX1K6MsSomkcRn56EHhpArSU,"Oberdorfstrasse 50, 8810 Horgen",migrolino Shop,4.1,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",86.0,47.2587963,8.589930299999999,7H5Q+GX Horgen, Horgen,migrolino Shop
43,ChIJFbFhJjAHkEcRMnmxXBtZG84,"Stampfistrasse 1, 8934 Knonau",Volg,4.5,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",63.0,47.223383,8.4613105,6FF6+9G Knonau, Knonau,Volg
44,ChIJIWicTnsHkEcRb5o6XbDX6Js,"Dorfpl. 1, 8911 Rifferswil",Volg Rifferswil,4.2,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",33.0,47.2426214,8.49602,6FVW+3C Rifferswil, Rifferswil,Volg Rifferswil
45,ChIJx1uESW4PkEcRzQhcKHcvfgs,"Zürcherstrasse 10, 8917 Oberlunkhofen",Volg Oberlunkhofen,4.1,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",98.0,47.3115659,8.39208,896R+JR Oberlunkhofen, Oberlunkhofen,Volg Oberlunkhofen
46,ChIJ5xQge2gHkEcRaMc0VkGGH_c,"Dorfstrasse 48, 8912 Obfelden",Volg Obfelden,0.0,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",0.0,47.26387769999999,8.4287414,7C7H+HF Obfelden, Obfelden,Volg Obfelden
47,ChIJL-nXqjcPkEcRL3CjpP7bp4Q,"Staldenstrasse 3, 8905 Arni",Volg,4.4,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",53.0,47.3188896,8.4198875,8C99+HX Arni, Arni,Volg
50,ChIJo1S3MDGqmkcR_5pEPukFo1o,"Oberdorfstrasse 6A, 6340 Baar",Coop Supermarkt Baar Oberdorf,4.1,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",238.0,47.1956308,8.5300792,5GWJ+92 Baar, Baar,Coop Supermarkt Baar Oberdorf
52,ChIJOW4Za6EAkEcR9ZT4L-8opxs,"Bahnhofstrasse 7, 6312 Steinhausen",Coop Supermarkt Steinhausen,4.4,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",310.0,47.19640330000001,8.4826207,5FWM+H2 Steinhausen, Steinhausen,Coop Supermarkt Steinhausen
53,ChIJn2aU7TmqmkcRoJlYqszaX68,"Poststrasse 3, 6340 Baar",Coop Supermarkt Baar Gotthard,4.2,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",494.0,47.1949845,8.5236062,5GVF+XC Baar, Baar,Coop Supermarkt Baar Gotthard
56,ChIJqb2Xe8AGkEcROl5oEMTGUho,"Bühlstrasse 1, 8933 Maschwanden",Volg Maschwanden,4.5,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",23.0,47.2345784,8.427523599999999,6CMH+R2 Maschwanden, Maschwanden,Volg Maschwanden
57,ChIJZcqlkXkHkEcRgOt1SwLWS0U,"Untere Bahnhofstrasse 5, 8932 Mettmenstetten",avec,2.7,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",15.0,47.2438337,8.4575661,6FV5+G2 Mettmenstetten, Mettmenstetten,avec
59,ChIJpWqHZk0EkEcRNvZiFhIGS8Y,"Luzernstrasse 2, 5634 Merenschwand",Volg Merenschwand,4.5,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",145.0,47.2592359,8.3746537,795F+MR Merenschwand, Merenschwand,Volg Merenschwand
60,ChIJI11au4wAkEcRyyjR9WT4MVY,"Seehofstrasse 14, 6330 Cham",Coop Supermarkt Cham Seehof,4.2,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",335.0,47.18148679999999,8.4616515,5FJ6+HM Cham, Cham,Coop Supermarkt Cham Seehof
61,ChIJ-9VFjOgFkEcRer4JzMbGEC0,"Dorfpl. 3, 8913 Ottenbach",Volg Ottenbach,4.2,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",97.0,47.2811749,8.404418999999999,7CJ3+FQ Ottenbach, Ottenbach,Volg Ottenbach
63,ChIJ5zTNyCIFkEcRCxyUMbBGw_4,"Seetalstrasse 1, 5630 Muri",Coop Supermarkt Muri AG,4.3,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",798.0,47.2733585,8.3413893,78FR+8H Muri, Muri,Coop Supermarkt Muri AG
64,ChIJ4-CUczkFkEcRQQ6YYKc73s4,"Aarauerstrasse 36, 5630 Muri",Lidl Schweiz,4.2,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'clothing_store', 'food', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",441.0,47.2797554,8.3361305,78HP+WF Muri, Muri,Lidl Schweiz
65,ChIJI5DLRiMFkEcRaPlcnwC0Y9g,"Luzernerstrasse 32, 5630 Muri",Muri supermarkt,4.6,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",69.0,47.2707501,8.3431452,78CV+76 Muri, Muri,Muri supermarkt
72,ChIJ3SvcT-WnmkcR-jR4nBninW4,"Albisstrasse 20, 8134 Adliswil",Adli Markt,4.2,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",45.0,47.3101905,8.5254444,8G6G+34 Adliswil, Adliswil,Adli Markt
77,ChIJHVi3JfQJkEcRJv9MWJcnqMA,"Uetlibergstrasse 20, 8045 Zürich",Coop Supermarkt Zürich Manessehof,4.0,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",248.0,47.36488989999999,8.5211127,9G7C+XC Zürich, Zürich,Coop Supermarkt Zürich Manessehof
78,ChIJFwx7xe8JkEcRDrrE0f9X6mg,"Kalanderpl. 1, 8045 Zürich",Coop Supermarkt Zürich Sihlcity Supermarkt,4.4,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",860.0,47.3576232,8.5231751,9G5F+27 Zürich, Zürich,Coop Supermarkt Zürich Sihlcity Supermarkt
79,ChIJNfdm5i2nmkcRADcuUzDZoAk,"Dietlimoosplatz 1, 8134 Adliswil",ALDI SUISSE,4.3,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",9.0,47.3221605,8.529346199999999,8GCH+VP Adliswil, Adliswil,ALDI SUISSE
80,ChIJqUHEGYqnmkcR-RTA1HL7U0s,"Poststrasse 3, 8134 Adliswil",Coop Supermarkt Adliswil,4.1,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",394.0,47.3130391,8.525551799999999,8G7G+66 Adliswil, Adliswil,Coop Supermarkt Adliswil
81,ChIJIScCroEJkEcRbsFzBtV4S_0,"Birmensdorferstrasse 517, 8055 Zürich",migrolino Zürich Birmensdorferstrasse,4.3,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",26.0,47.3674068,8.4944007,9F8V+XQ Zürich, Zürich,migrolino Zürich Birmensdorferstrasse
82,ChIJ7SJ3VA0JkEcR8riOqfBvUIg,"Waldegg CH, Zürcherstrasse 1, 8142 Uitikon",Coop Supermarkt Uitikon Waldegg,4.4,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",126.0,47.36806499999999,8.4624693,9F96+6X Uitikon,herstrasse 1,Coop Supermarkt Uitikon Waldegg
83,ChIJVUL56IAJkEcRDXaPF7oDxp8,"Birmensdorferstrasse 484, 8055 Zürich",migrolino Triemli,4.3,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",133.0,47.3685826,8.4966337,9F9W+CM Zürich, Zürich,migrolino Triemli
84,ChIJYaLJr7mcmkcRAgp8MuXLd1s,"Hauptstrasse 4, 8452 Adlikon",BP Service Weinland West Express Shopping,4.2,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",170.0,47.5813267,8.6826502,HMJM+G3 Adlikon bei Andelfingen, Adlikon,BP Service Weinland West Express Shopping
86,ChIJj3Su00eDmkcREAUGuthcEC0,"Schaffhauserstrasse 62, 8451 Kleinandelfingen",Coop Supermarkt Kleinandelfingen,4.5,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",473.0,47.6030463,8.6884763,JM3Q+69 Kleinandelfingen, Kleinandelfingen,Coop Supermarkt Kleinandelfingen
87,ChIJ4dMtzZGcmkcRLk5hQwiq7WA,"Hinterdorfstrasse 2, 8444 Henggart",Volg Henggart,4.3,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",116.0,47.56418619999999,8.6830546,HM7M+M5 Henggart, Henggart,Volg Henggart
88,ChIJR_MMkZeEmkcRgYHWMslpG3Q,"Mitteldorfstrasse 21, 8475 Ossingen",Volg Ossingen,4.4,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",64.0,47.6112894,8.7259704,JP6G+GC Ossingen, Ossingen,Volg Ossingen
89,ChIJ2TWFZ6kMkEcR2y1Kg6PeByk,"Pumpwerkstrasse 56, 8105 Regensdorf",SPAR,4.2,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",266.0,47.445349,8.4640988,CFW7+4J Regensdorf, Regensdorf,SPAR
91,ChIJ9S50F9WDmkcRoCDygMr1c2M,"Schaffhauserstrasse 24, 8451 Kleinandelfingen",Volg Kleinandelfingen,4.6,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",15.0,47.599414,8.6833107,HMXM+Q8 Kleinandelfingen, Kleinandelfingen,Volg Kleinandelfingen
92,ChIJT8Iu07uamkcR_9Ct1D-RQLA,"Thurtalstrasse 26, 8479 Altikon",Volg Altikon,4.5,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",24.0,47.5732239,8.7816033,HQFJ+7J Altikon, Altikon,Volg Altikon
95,ChIJ1bk8G_KCmkcRfBo46rKezKw,"Maiengasse 2, 8460 Marthalen",Volg-supermarkt Marthalen mit postagentur,4.2,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",50.0,47.62608609999999,8.649148799999999,JJGX+CM Marthalen, Marthalen,Volg-supermarkt Marthalen mit postagentur
96,ChIJk1k5G5ebmkcRPdrapyCsS2Q,"Schaffhauserstrasse 152, 8400 Winterthur",ALDI SUISSE,4.5,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",6.0,47.51863,8.7199086,GP99+FX Winterthur, Winterthur,ALDI SUISSE
97,ChIJoVrk4WCdmkcRzfLdGE8y36c,"Webergasse 4, 8416 Flaach",Volg Flaach,4.5,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",94.0,47.5765476,8.6081679,HJG5+J7 Flaach, Flaach,Volg Flaach
98,ChIJB83py7ObmkcR0cDU2tbZSi0,"Strehlgasse 27, 8472 Seuzach",Coop Supermarkt Seuzach,4.2,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",191.0,47.5369484,8.7340807,GPPM+QJ Seuzach, Seuzach,Coop Supermarkt Seuzach
99,ChIJ1xZGUloLkEcRs5h_KL6YQvk,"Feldstrasse 32, 8105 Regensdorf",ALDI Regensdorf,4.0,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",515.0,47.4383568,8.4730396,CFQF+86 Regensdorf, Regensdorf,ALDI Regensdorf
100,ChIJOWXTgZybmkcRvtTIjvZoNoQ,"Schulstrasse 1, 8442 Hettlingen",Volg Hettlingen,4.5,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",30.0,47.5467014,8.7079309,GPW5+M5 Hettlingen, Hettlingen,Volg Hettlingen
101,ChIJLShbyakMkEcR_jalCAiE1Uc,"Grütpark, Adlikerstrasse 295, 8105 Regensdorf",Lidl,4.1,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'clothing_store', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']",310.0,47.4443098,8.465036399999999,CFV8+P2 Regensdorf,kerstrasse 295,Lidl
102,ChIJ65e6LzmZmkcR13w6xzK2uX8,"Bahnhofpl. 3, 8400 Winterthur",Coop Supermarkt City Winterthur Food,1.7,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",3.0,47.4993784,8.7235009,FPXF+QC Winterthur, Winterthur,Coop Supermarkt City Winterthur Food
103,ChIJZ_nCSECCmkcRseZoRbQM4zU,"Landstrasse 7, 8463 Benken",Volg Benken,4.7,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",45.0,47.6528423,8.6535622,MM33+4C Benken, Benken,Volg Benken
104,ChIJrcii3rp4kEcRicw05kTVK5s,"Dorfstrasse 17, 8447 Dachsen",Volg,4.3,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",50.0,47.6652054,8.617393,MJ88+4X Dachsen, Dachsen,Volg
106,ChIJ49xfITZ_kEcR9rfQ4wPUSvs,"Klettgauerstrasse 45, 8212 Neuhausen am Rheinfall",SPAR express Neuhausen,4.4,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",44.0,47.6841735,8.6120505,MJM6+MR Neuhausen am Rheinfall, Neuhausen am Rheinfall,SPAR express Neuhausen
107,ChIJlV_iRIt4kEcRcwRBGCXUt3A,"Poststrasse 30, 8462 Rheinau",Volg Rheinau,4.2,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",61.0,47.64317639999999,8.600774399999999,JJV2+77 Rheinau, Rheinau,Volg Rheinau
108,ChIJJ99byaODmkcRbZFz6CsB4rA,"Diessenhoferstrasse 4, 8466 Trüllikon",Volg Trüllikon,4.6,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",52.0,47.6378658,8.6931946,JMQV+47 Trüllikon, Trüllikon,Volg Trüllikon
109,ChIJSURXfeaBmkcRPSjM4uIUcOA,"Schützenstrasse 40, 8245 Feuerthalen",Coop Feuerthalen,4.7,"['supermarket', 'gas_station', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",20.0,47.6905503,8.648743699999999,MJRX+6F Feuerthalen, Feuerthalen,Coop Feuerthalen
111,ChIJ0x0nQ92DmkcR_rnv_rLJvDA,"Frauenfelderstrasse 67, 8252 Schlatt",Volg Schlatt,4.5,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",62.0,47.6619789,8.703016900000001,MP63+Q6 Schlatt bei Diessenhofen, Schlatt,Volg Schlatt
112,ChIJl5fm0ayDmkcRt7SCw1hoKSY,"Dorfstrasse 24, 8465 Rudolfingen",Volg Rudolfingen,4.1,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",17.0,47.6403938,8.6730082,"JMRF+45 Rudolfingen, Trüllikon", Rudolfingen,Volg Rudolfingen
114,ChIJhabHP5idmkcRx7lt6XWDgBU,"Hauptstrasse 55, 8414 Buch am Irchel",Volg,4.2,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",33.0,47.5496268,8.6186899,GJX9+VF Buch am Irchel, Buch am Irchel,Volg
118,ChIJ56y3sVd1kEcRJyQJlYVxzGQ,"Airport Shopping, Airport Shopping, 8302 Kloten",Coop Pronto Zürich Flughafen,4.0,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",78.0,47.4502747,8.562389099999999,FH26+4X Kloten,ort Shopping,Coop Pronto Zürich Flughafen
119,ChIJxQDDhAt3kEcRjRB4zcTy244,"Schaffhauserstrasse 110, 8180 Bülach",Coop Supermarkt Bülach im Guss,4.3,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",185.0,47.5266542,8.5361403,GGGP+MF Bülach, Bülach,Coop Supermarkt Bülach im Guss
