,unique_id,osmid,element_type,brand,brand:wikidata,brand:wikipedia,cash_withdrawal,cash_withdrawal:fee,cash_withdrawal:purchase_required,cash_withdrawal:type,name,opening_hours,operator,shop,wheelchair,geometry,bus,highway,public_transport,addr:city,addr:country,addr:postcode,addr:street,toilets:wheelchair,addr:suburb,contact:phone,nodes,building,addr:housename,addr:housenumber,branch,phone,alt_name,website,check_date:opening_hours,organic,source,wheelchair:description,level,opening_hours:covid19,post_box:location,payment:twint,kids_area,internet_access,internet_access:fee,description,emergency,emergency:phone,building:levels,delivery:covid19,indoor,room,source:opening_hours,takeaway,addr:place,check_date,entrance,start_date,amenity,capacity,fee,parking,access,operator:wikidata,name:en,layer,building:material,payment:cash,payment:credit_cards,payment:debit_cards,roof:colour,building:roof,payment:postfinance_card,surface,capacity:disabled,maxstay,roof:shape,roof:levels,park_ride,supervised,wikidata,lit,disused:shop,fixme,operator:type,payment:contactless,toilets,payment:coins,payment:notes,payment:telephone_cards,landuse,toilets:access,name:it,payment:maestro,smoking
10,way/152507487,152507487,way,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,,,supermarket,yes,"POLYGON ((8.9053559 45.9991254, 8.905226 45.9988596, 8.9053435 45.9988319, 8.9052311 45.998602, 8.9054434 45.9985519, 8.9053109 45.9982808, 8.9054283 45.9982532, 8.9053992 45.9981937, 8.9058223 45.9980939, 8.906145 45.9987541, 8.906074 45.9987709, 8.9061265 45.9988782, 8.9060396 45.9988987, 8.9061142 45.9990513, 8.9060686 45.9990621, 8.9061112 45.9991492, 8.9059734 45.9991817, 8.9059285 45.9990899, 8.9055131 45.9991879, 8.9054694 45.9990986, 8.9053559 45.9991254))",,,,,,,,,,,"[1653259312, 1653259288, 1653259287, 1653259284, 1653259283, 1653259282, 1653259280, 1653259279, 1653259276, 1653259285, 1653259286, 1653259289, 1653259291, 1653259303, 1653259305, 1653259317, 1653259320, 1653259308, 1653259321, 1653259310, 1653259312]",retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,way/304782878,304782878,way,Migros,Q680727,en:Migros,,,,,Migros,,,supermarket,,"POLYGON ((8.9522222 46.0073791, 8.9520436 46.0068793, 8.9518989 46.006902, 8.9514784 46.0069817, 8.9516134 46.0073832, 8.9516644 46.007377, 8.9516915 46.0074455, 8.9518684 46.0074114, 8.9518775 46.0074372, 8.9520682 46.0074049, 8.9522222 46.0073791))",,,,,,,Via Pretorio,,,,"[3093834084, 3093834099, 3093836579, 3093834092, 9484701048, 9484701047, 3093834087, 9484701049, 9484701050, 3093834094, 3093834084]",yes,Migros Lugano Centro,15,Lugano Centro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,node/723124725,723124725,node,Migros,Q680727,,postfinance_card,no,no,checkout,Migros,,Migros,supermarket,,POINT (8.8506817 46.1806002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,node/805177065,805177065,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,"Mo-We, Fr 08:00-18:30; Th 08:00-20:00; Sa 08:00-17:00",,supermarket,yes,POINT (8.8108981 46.1753807),,,,,,,Via San Gottardo,,,,,,,,,+41918217730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,node/805884912,805884912,node,Migros,Q680727,,postfinance_card,no,no,checkout,Migros,,,supermarket,,POINT (8.7824406 46.1684821),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,node/880838966,880838966,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,Mo-Fr 08:00-19:00; Sa 08:00-18:30,,supermarket,,POINT (8.7053665 46.2455532),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,node/2745111745,2745111745,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,"Mo-We, Fr 08:00-18:30, 09:00-18:00; Th 08:00-12:30, 14:00-20:00; Sa 08:00-18:00",Migros,supermarket,,POINT (8.8001178 46.4779593),,,,Faido,,6760,Via Pian della Croce,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,node/6804197771,6804197771,node,Migros,Q680727,,postfinance_card,no,no,checkout,Migros,Mo-Sa 07:30-18:30; Th 07:30-21:00,,supermarket,,POINT (8.8898475 46.1751077),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,node/1665613604,1665613604,node,Migros,Q680727,de:Migros,,,,,Migros,"Mo-Fr 07:30-18:30, Sa 07:30-17:00",Genossenschaft Migros Luzern,supermarket,,POINT (8.6500017 46.8251804),,,,Erstfeld,,6472,Gotthardstrasse,,,,,,,144,Erstfeld,,Migros Erstfeld,https://filialen.migros.ch/de/migros-supermarkt-erstfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,node/2642259706,2642259706,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Th 07:30-18:30, Fr 07:30-21:00, Sa 07:30-17:00",Genossenschaft Migros Luzern,supermarket,yes,POINT (8.6417406 46.8796927),,,,Altdorf UR,,6460,Gitschenstrasse,,,,,,,14,Altdorf UR,,Migros Altdorf,https://filialen.migros.ch/de/migros-supermarkt-altdorf,2022-11-14,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
