,unique_id,osmid,element_type,brand,brand:wikidata,brand:wikipedia,name,shop,geometry,cash_withdrawal,cash_withdrawal:fee,cash_withdrawal:purchase_required,cash_withdrawal:type,wheelchair,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,alt_name,opening_hours,contact:phone,operator,phone,nodes,building,building:levels,roof:levels,roof:shape,branch,level,organic,payment:cash,payment:maestro,toilets:wheelchair,website,amenity,entrance,access,capacity:disabled,fee,lit,parking,surface,start_date,source,smoking,capacity,landuse,bus,highway,public_transport,name:it,addr:suburb,addr:housename,toilets,toilets:access,check_date:opening_hours,wheelchair:description,opening_hours:covid19,payment:twint,internet_access,addr:place,payment:coins,payment:contactless,payment:credit_cards,payment:debit_cards,payment:notes,payment:telephone_cards,kids_area,building:material,roof:colour,payment:postfinance_card,name:de,ele,source:opening_hours,takeaway,check_date,diet:halal,diet:kosher,post_box:location,network,uic_name,uic_ref,indoor,layer,internet_access:fee,description,emergency,emergency:phone,fixme,delivery:covid19,room,maxheight,building:part,payment:mastercard,payment:visa,departures_board,access:covid19,changing_table,contact:website,dog,building:roof
134,node/450879978,450879978,node,Migros,Q680727,de:Migros,Migros,supermarket,POINT (8.4538088 47.2783381),migros_bank;postfinance_card,no,no,checkout,yes,Affoltern am Albis,,4,8910,Oberdorfstrasse,Migros Affoltern a.A. (MM),Mo-Sa 08:00-20:00; PH off,,Genossenschaft Migros Zürich,,,,,,,Affoltern am Albis,,,,,,https://filialen.migros.ch/de/migros-supermarkt-affoltern-a-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,node/451720086,451720086,node,Migros,Q680727,en:Migros,Migros,supermarket,POINT (8.5173007 47.3580599),,,,,yes,Zürich,CH,65,8045,Giesshübelstrasse,Migros Brunaupark (MM),Mo-Sa 08:00-20:00; PH off,,Genossenschaft Migros Zürich,,,,,,,Zürich Brunaupark,,,,,,https://filialen.migros.ch/de/migros-supermarkt-zuerich-brunaupark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,node/506648661,506648661,node,Migros,Q680727,en:Migros,Migros,supermarket,POINT (8.3168248 47.0423384),,,,,yes,Luzern,,66,6005,Tribschenstrasse,Migros Tribschenstrasse,"Mo-Fr 07:00-19:00, Sa 07:00-17:00; PH off",,Genossenschaft Migros Luzern,,,,,,,Luzern Tribschenstrasse,,,,,,https://filialen.migros.ch/de/migros-supermarkt-luzern-tribschenstrasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,
137,node/529971961,529971961,node,Migros,Q680727,en:Migros,Migros,supermarket,POINT (8.5183034 47.1731419),migros_bank;postfinance_card,no,no,checkout,yes,Zug,,22,6300,Baarerstrasse,Migros Metalli (MM),Mo-Fr 08:00-19:00; Th 08:00-21:00; Sa 08:00-17:00; PH off,,Genossenschaft Migros Luzern,,,,,,,Zug Metalli,-1,,,,,https://filialen.migros.ch/de/migros-supermarkt-zug-metalli,,,,,,,,,,,,,,,,,,,,,,,,same,,,,,,,,,,,,,,,,,,,,,"Hinterbergstrasse 40, Einkaufszentrum Zugerland, 6312 Steinhausen",,,,,,,,,,,,,,,,,,,,,,
138,node/544246178,544246178,node,Migros,Q680727,de:Migros,Migros,supermarket,POINT (8.2442351 47.2941009),,,,,,Fahrwangen,,12,5615,Hintergasse,Migros Fahrwangen,"Mo-Fr 08:00-19:00, Sa 08:00-17:00; PH off",,Genossenschaft Migros Aare,,,,,,,Fahrwangen,,,,,,https://filialen.migros.ch/de/migros-supermarkt-fahrwangen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,node/594574148,594574148,node,Migros,Q680727,de:Migros,Migros,supermarket,POINT (8.1021662 47.1728168),,,,,yes,Sursee,,28,6210,Bahnhofstrasse,Migros Surseepark (MMM),Mo-Fr 08:00-19:00; Th 08:00-21:00; Sa 08:00-17:00; PH off,,Genossenschaft Migros Luzern,,,,,,,Sursee Surseepark,,,,,yes,https://filialen.migros.ch/de/migros-supermarkt-surseepark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,node/939538237,939538237,node,Migros,Q680727,de:Migros,Migros,supermarket,POINT (8.4612037 47.1825379),migros_bank;postfinance_card,no,no,checkout,yes,Cham,,15-17,6330,Zugerstrasse,Migros Cham,Mo-Th 08:00-19:00; Fr 08:00-20:00; Sa 07:30-17:00; PH off,,Genossenschaft Migros Luzern,,,,,,,Cham Neudorf,0,,,,,https://filialen.migros.ch/de/migros-supermarkt-cham-neudorf,,,,,,,,,,,,,,,,,,,,,,,,same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,node/963198491,963198491,node,Migros,Q680727,de:Migros,Migros,supermarket,POINT (8.5793078 47.1381682),migros_bank;postfinance_card,no,no,checkout,yes,Unterägeri,CH,32,6314,Zugerstrasse,Migros Unterägeri,"Mo-Th 07:30-19:00, Fr 07:30-20:00, Sa 07:30-17:00; PH off",,Genossenschaft Migros Luzern,+41 41 754 41 41,,,,,,Unterägeri,,,,,,https://filialen.migros.ch/de/migros-supermarkt-unteraegeri,,,,,,,,,,migros.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,node/984022891,984022891,node,,,,Migros,,POINT (8.2723891 47.3494562),,,,,yes,,,,,,,,,PAG,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,bus_stop,platform,,,,,,,,,,,,,,,,,,,,,,,423,,,,,,,A-Welle,"Wohlen AG, Migros",8572621,,,,,,,,,,,,,,,,,,,
143,node/995471959,995471959,node,Migros,Q680727,de:Migros,Migros,supermarket,POINT (8.5594679 47.3793846),,,,,,Zürich,CH,73,8044,Toblerstrasse,Migros Toblerplatz,Mo-Sa 07:30-20:00; PH off,,Genossenschaft Migros Zürich,,,,,,,Zürich Toblerplatz,,,,,,https://filialen.migros.ch/de/migros-supermarkt-zuerich-toblerplatz,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
